id,type,name,symbol,serie,start_date,end_date,previous_asset_id,conceptual_asset_id
175,real_asset,Dólar Observado,USDCLP,,,,,25
8799,real_asset,FONDO MUTUO BCI RENDIMIENTO,FFMM-BCI-8036-UNICA,UNICA,1988-05-03,2003-01-07,,1679
8800,real_asset,FONDO MUTUO BCI RENDIMIENTO,FFMM-BCI-8036-DELTA,DELTA,2003-01-08,2004-02-25,,1679
8803,real_asset,FONDO MUTUO BCI RENDIMIENTO,FFMM-BCI-8036-GAMMA,GAMMA,2003-01-08,2012-11-26,,1679
8802,real_asset,FONDO MUTUO BCI RENDIMIENTO,FFMM-BCI-8036-BETA,BETA,2003-01-08,2011-12-29,8799,1679
8801,real_asset,FONDO MUTUO BCI RENDIMIENTO,FFMM-BCI-8036-ALFA,ALFA,2003-01-08,2011-12-29,8799,1679
8805,real_asset,FONDO MUTUO BCI RENDIMIENTO,FFMM-BCI-8036-BCI,BCI,2018-04-03,,,1679
8807,real_asset,FONDO MUTUO BCI RENDIMIENTO,FFMM-BCI-8036-FAMIL,FAMIL,2011-12-30,,,1679
8804,real_asset,FONDO MUTUO BCI RENDIMIENTO,FFMM-BCI-8036-APV,APV,2011-12-30,,8802,1679
8806,real_asset,FONDO MUTUO BCI RENDIMIENTO,FFMM-BCI-8036-CLASI,CLASI,2011-12-30,,8801,1679
15815,real_asset,GLD,GLD,,,,,2826
8755,real_asset,FONDO MUTUO BCI ESTRATEGIA UF > 5 AÑOS,FFMM-BCI-8460-ALPAT,ALPAT,2011-12-02,,,1670
8757,real_asset,FONDO MUTUO BCI ESTRATEGIA UF > 5 AÑOS,FFMM-BCI-8460-APVC,APVC,2011-12-02,,,1670
8753,real_asset,FONDO MUTUO BCI ESTRATEGIA UF > 5 AÑOS,FFMM-BCI-8460-BETA,BETA,2006-09-14,2011-12-01,,1670
8752,real_asset,FONDO MUTUO BCI ESTRATEGIA UF > 5 AÑOS,FFMM-BCI-8460-ALFA,ALFA,2006-09-14,2011-12-01,,1670
8754,real_asset,FONDO MUTUO BCI ESTRATEGIA UF > 5 AÑOS,FFMM-BCI-8460-A,A,2017-12-29,,,1670
8758,real_asset,FONDO MUTUO BCI ESTRATEGIA UF > 5 AÑOS,FFMM-BCI-8460-BCI,BCI,2015-03-04,,,1670
8756,real_asset,FONDO MUTUO BCI ESTRATEGIA UF > 5 AÑOS,FFMM-BCI-8460-APV,APV,2011-12-02,,8753,1670
8760,real_asset,FONDO MUTUO BCI ESTRATEGIA UF > 5 AÑOS,FFMM-BCI-8460-CLASI,CLASI,2011-12-02,,8752,1670
8759,real_asset,FONDO MUTUO BCI ESTRATEGIA UF > 5 AÑOS,FFMM-BCI-8460-BPRIV,BPRIV,2011-12-02,,,1670
8761,real_asset,FONDO MUTUO BCI ESTRATEGIA UF > 5 AÑOS,FFMM-BCI-8460-FAMIL,FAMIL,2011-12-02,,,1670
15076,real_asset,FONDO MUTUO BICE ESTRUCTURADO 108,FFMM-BICE-9728-UNICA,UNICA,2019-03-15,2021-04-30,,2642
16021,real_asset,FONDO MUTUO ITAU COMPASS ACCIONES LATINOAMERICANAS,FFMM-ITAU-9926-IT,IT,2020-09-08,,,2892
16020,real_asset,FONDO MUTUO ITAU COMPASS ACCIONES LATINOAMERICANAS,FFMM-ITAU-9926-F3,F3,2020-12-29,,,2892
