id,type,name,symbol,category,currency,max_scale,run,data_source
25,conceptual_asset,Dólar Observado,USDCLP,currency,CLP,4,,https://www.bcentral.cl
1679,conceptual_asset,FONDO MUTUO BCI RENDIMIENTO,FFMM-BCI-8036,mutual_fund,CLP,4,8036-5,http://www.cmfchile.cl
2826,conceptual_asset,GLD,GLD,etf,USD,4,,
1670,conceptual_asset,FONDO MUTUO BCI ESTRATEGIA UF > 5 AÑOS,FFMM-BCI-8460,mutual_fund,CLP,4,8460-3,http://www.cmfchile.cl
2642,conceptual_asset,FONDO MUTUO BICE ESTRUCTURADO 108,FFMM-BICE-9728,mutual_fund,CLP,4,9728-4,http://www.cmfchile.cl
2892,conceptual_asset,FONDO MUTUO ITAU COMPASS ACCIONES LATINOAMERICANAS,FFMM-ITAU-9926,mutual_fund,,4,9926-0,http://www.cmfchile.cl
1774,conceptual_asset,FONDO MUTUO CREDICORP CAPITAL INDICE CHILE,FFMM-CREDICORP-8929,mutual_fund,,4,8929-k,http://www.cmfchile.cl
2889,conceptual_asset,FONDO DE INVERSIÓN TRONADOR DEUDA PRIVADA,FINV-9918,investment_fund,,4,9918-k,http://www.cmfchile.cl
2898,conceptual_asset,XLC Deuda Privada Fintech Fondo de Inversión,FINV-9907,investment_fund,CLP,4,9907-4,http://www.cmfchile.cl
2887,conceptual_asset,FONDO MUTUO ITAU COMPASS DEUDA CHILENA,FFMM-ITAU-9927,mutual_fund,,4,9927-9,http://www.cmfchile.cl
2893,conceptual_asset,FONDO MUTUO ITAU DEUDA EMERGENTE,FFMM-ITAU-9923,mutual_fund,,4,9923-6,http://www.cmfchile.cl
2646,conceptual_asset,BICE DEUDA LATAM HY FONDO DE INVERSION,FINV-9734,investment_fund,,4,9734-9,http://www.cmfchile.cl
1844,conceptual_asset,FONDO MUTUO ITAU GESTIONADO AGRESIVO,FFMM-ITAU-8993,mutual_fund,CLP,4,8993-1,http://www.cmfchile.cl
2881,conceptual_asset,QUEST DEUDA CHILE INVESTMENT GRADE FONDO DE INVERSION,FINV-9885,investment_fund,,4,9885-k,http://www.cmfchile.cl
3051,conceptual_asset,FONDO DE INVERSION BANCHILE DEUDA DOLAR CORTO PLAZO,FINV-10120,investment_fund,,4,10120-6,http://www.cmfchile.cl
16,conceptual_asset,CLF/CLP,CLFCLP,currency,CLP,4,,https://www.bcentral.cl
1543,conceptual_asset,FONDO DE INVERSIÓN SANTANDER DEUDA LATAM,FINV-9666,investment_fund,,4,9666-0,http://www.cmfchile.cl
1847,conceptual_asset,FONDO MUTUO ITAU LATAM CORPORATE,FFMM-ITAU-8254,mutual_fund,USD,4,8254-6,http://www.cmfchile.cl
1841,conceptual_asset,FONDO MUTUO ITAU DINAMICO,FFMM-ITAU-8959,mutual_fund,CLP,4,8959-1,http://www.cmfchile.cl
2888,conceptual_asset,FONDO MUTUO ITAU LARRAINVIAL AHORRO ESTRATEGICO,FFMM-ITAU-9928,mutual_fund,,4,9928-7,http://www.cmfchile.cl
2842,conceptual_asset,ARKK,ARKK,etf,USD,4,,
2846,conceptual_asset,VCIT,VCIT,etf,USD,4,,
2894,conceptual_asset,FONDO MUTUO ITAÚ INCOME,FFMM-ITAU-9921,mutual_fund,,4,9921-k,http://www.cmfchile.cl
2973,conceptual_asset,VGT,VGT,etf,USD,4,,
1843,conceptual_asset,FONDO MUTUO ITAU GESTIONADO ACCIONES,FFMM-ITAU-8971,mutual_fund,CLP,4,8971-0,http://www.cmfchile.cl
2895,conceptual_asset,FONDO MUTUO BICE RENTA MÁS LARGO PLAZO,FFMM-BICE-9934,mutual_fund,,4,9934-1,http://www.cmfchile.cl
47,conceptual_asset,SPY,SPY,etf,USD,4,,
1520,conceptual_asset,FONDO DE INVERSIÓN ZURICH AHORRO DINÁMICO,FINV-9276,investment_fund,,4,9276-2,http://www.cmfchile.cl
1462,conceptual_asset,AMERIS DVA ALL CAP CHILE FONDO DE INVERSION,FINV-9395,investment_fund,,4,9395-5,http://www.cmfchile.cl
3053,conceptual_asset,FONDO MUTUO CLEVER DNA SCIENCE,FFMM-BICE-10130,mutual_fund,,4,10130-3,http://www.cmfchile.cl
2825,conceptual_asset,BLV,BLV,etf,USD,4,,
2848,conceptual_asset,FTEC,FTEC,etf,USD,4,,
1519,conceptual_asset,FONDO DE INVERSIÓN ZURICH RENTA VARIABLE GLOBAL,FINV-9198,investment_fund,,4,9198-7,http://www.cmfchile.cl
2902,conceptual_asset,FRONTAL TRUST RENDIMIENTO CON LIQUIDEZ FONDO DE INVERSIÓN,FINV-9917,investment_fund,CLP,4,9917-1,http://www.cmfchile.cl
2900,conceptual_asset,COMPASS GLOBAL TRENDS FONDO DE INVERSIÓN,FINV-9930,investment_fund,,4,9930-9,http://www.cmfchile.cl
2899,conceptual_asset,FONDO MUTUO ITAU TOESCA CHILE EQUITIES,FFMM-ITAU-9936,mutual_fund,,4,9936-8,http://www.cmfchile.cl
2847,conceptual_asset,FONDO DE INVERSIÓN WEG-7,FINV-9891,investment_fund,,4,9891-4,http://www.cmfchile.cl
2901,conceptual_asset,FONDO DE INVERSIÓN LARRAINVIAL HEALTH AND BIOTECH,FINV-9915,investment_fund,,4,9915-5,http://www.cmfchile.cl
3052,conceptual_asset,FONDO MUTUO BICE RENTA GLOBAL,FFMM-BICE-10139,mutual_fund,,4,10139-7,http://www.cmfchile.cl
3054,conceptual_asset,FONDO MUTUO CLEVER GLOBAL FINTECH,FFMM-BICE-10132,mutual_fund,,4,10132-k,http://www.cmfchile.cl
2784,conceptual_asset,Franklin Templeton Deuda Corto Plazo,FT-LIQU,investment_fund,MXN,6,,
2745,conceptual_asset,VT,VT,etf,USD,4,,
2827,conceptual_asset,FYNSA RENTA FIJA PRIVADA PERÚ,FINV-9461,investment_fund,USD,4,9641-5,http://www.cmfchile.cl
1678,conceptual_asset,FONDO MUTUO BCI CARTERA PATRIMONIAL CONSERVADORA,FFMM-BCI-9063,mutual_fund,CLP,4,9063-8,http://www.cmfchile.cl
2903,conceptual_asset,FONDO MUTUO LARRAINVIAL AHORRO LARGO PLAZO,FFMM-LARRAINVIAL-9929,mutual_fund,,4,9929-5,http://www.cmfchile.cl
2843,conceptual_asset,ARKW,ARKW,etf,USD,4,,
1661,conceptual_asset,FONDO MUTUO BCI FRONTERA,FFMM-BCI-8588,mutual_fund,CLP,4,8588-k,http://www.cmfchile.cl
1650,conceptual_asset,FONDO MUTUO BCI EMERGENTE GLOBAL,FFMM-BCI-8625,mutual_fund,CLP,4,8625-8,http://www.cmfchile.cl
2974,conceptual_asset,CLOU,CLOU,etf,USD,4,,
1672,conceptual_asset,FONDO MUTUO BCI DEUDA LATAM HY,FFMM-BCI-8967,mutual_fund,USD,4,8967-2,http://www.cmfchile.cl
1669,conceptual_asset,FONDO MUTUO BCI GLOBAL TITAN,FFMM-BCI-8710,mutual_fund,CLP,4,8710-6,http://www.cmfchile.cl
1664,conceptual_asset,FONDO MUTUO BCI GESTIÓN FLEXIBLE,FFMM-BCI-8813,mutual_fund,CLP,4,8813-7,http://www.cmfchile.cl
2896,conceptual_asset,FONDO MUTUO ITAU GLOBAL BRANDS,FFMM-ITAU-9931,mutual_fund,,4,9931-7,http://www.cmfchile.cl
1641,conceptual_asset,FONDO MUTUO BCI DEUDA LATAM IG,FFMM-BCI-9231,mutual_fund,USD,4,9231-2,http://www.cmfchile.cl
1683,conceptual_asset,FONDO MUTUO BCI USA,FFMM-BCI-8515,mutual_fund,USD,4,8515-4,http://www.cmfchile.cl
3055,conceptual_asset,FONDO MUTUO CLEVER VIDEO GAMES & ESPORTS,FFMM-BICE-10131,mutual_fund,,4,10131-1,http://www.cmfchile.cl
1642,conceptual_asset,FONDO MUTUO BCI ESTRATEGIA UF HASTA 1 AÑO,FFMM-BCI-8941,mutual_fund,CLP,4,8941-9,http://www.cmfchile.cl
1488,conceptual_asset,FONDO MUTUO CREDICORP CAPITAL MACRO 2.0,FFMM-CREDICORP-9107,mutual_fund,,4,9107-3,http://www.cmfchile.cl
1493,conceptual_asset,FONDO DE INVERSION ITAU ACCIONARIO GLOBAL,FINV-9550,investment_fund,,4,9550-8,http://www.cmfchile.cl
2891,conceptual_asset,FONDO MUTUO ITAU ACCIONES EMERGENTES,FFMM-ITAU-9922,mutual_fund,,4,9922-8,http://www.cmfchile.cl
2897,conceptual_asset,FONDO MUTUO ITAU US ADVANTAGE,FFMM-ITAU-9932,mutual_fund,,4,9932-5,http://www.cmfchile.cl
2975,conceptual_asset,FONDO DE INVERSIÓN LARRAINVIAL BROWN ADVISORY US SUSTAINABLE GROWTH,FINV-9997,investment_fund,,4,9997-k,http://www.cmfchile.cl
2179,conceptual_asset,FONDO MUTUO BCI ESTRUCTURADO 108 III,FFMM-BCI-9262,mutual_fund,CLP,4,9262-2,http://www.cmfchile.cl
2841,conceptual_asset,FONDO DE INVERSION BANCHILE GLOBAL REAL ESTATE,FINV-9854,investment_fund,,4,9854-k,http://www.cmfchile.cl
1715,conceptual_asset,FONDO MUTUO BICE RENTA PESOS,FFMM-BICE-8029,mutual_fund,CLP,4,8029-2,http://www.cmfchile.cl
1675,conceptual_asset,FONDO MUTUO BCI CARTERA PATRIMONIAL ACTIVA,FFMM-BCI-9060,mutual_fund,CLP,4,9060-3,http://www.cmfchile.cl
1676,conceptual_asset,FONDO MUTUO BCI CARTERA PATRIMONIAL AHORRO,FFMM-BCI-9061,mutual_fund,CLP,4,9061-1,http://www.cmfchile.cl
1696,conceptual_asset,FONDO MUTUO BICE ACCIONES INDIA,FFMM-BICE-9223,mutual_fund,CLP,4,9223-1,http://www.cmfchile.cl
2006,conceptual_asset,FONDO MUTUO SECURITY ASIA EMERGENTE,FFMM-ADMINISTRADORA-8820,mutual_fund,,4,8820-k,http://www.cmfchile.cl
2883,conceptual_asset,FONDO DE INVERSIÓN SURA DEUDA CORPORATIVA LATINOAMERICANA USD,FINV-9897,investment_fund,,4,9897-3,http://www.cmfchile.cl
2908,conceptual_asset,FONDO DE INVERSIÓN SARTOR TÁCTICO PERÚ,FINV-9882,investment_fund,,4,9882-5,http://www.cmfchile.cl
2010,conceptual_asset,FONDO MUTUO SECURITY DEUDA CORPORATIVA LATINOAMERICANA,FFMM-ADMINISTRADORA-8940,mutual_fund,,4,8940-0,http://www.cmfchile.cl
2747,conceptual_asset,ETHO,ETHO,etf,USD,4,,
2844,conceptual_asset,ESGU,ESGU,etf,USD,4,,
2016,conceptual_asset,FONDO MUTUO SECURITY EUROPA ESTRATÉGICO,FFMM-ADMINISTRADORA-9187,mutual_fund,,4,9187-1,http://www.cmfchile.cl
2024,conceptual_asset,FONDO MUTUO SECURITY LOCAL EMERGING DEBT,FFMM-ADMINISTRADORA-8823,mutual_fund,,4,8823-4,http://www.cmfchile.cl
1836,conceptual_asset,FONDO MUTUO ITAU AHORRO PLUS,FFMM-ITAU-9539,mutual_fund,CLP,4,9539-7,http://www.cmfchile.cl
2906,conceptual_asset,AMERIS DVA MEDTECH FUND FONDO DE INVERSIÓN,FINV-9937,investment_fund,,4,9937-6,http://www.cmfchile.cl
1849,conceptual_asset,FONDO MUTUO ITAU PERFORMANCE,FFMM-ITAU-8092,mutual_fund,CLP,4,8092-6,http://www.cmfchile.cl
2364,conceptual_asset,FONDO MUTUO ITAU CAPITAL BALANCEADO,FFMM-ITAU-9016,mutual_fund,,4,9016-6,http://www.cmfchile.cl
1494,conceptual_asset,FONDO DE INVERSION ITAU CHILE CORPORATIVO,FINV-9551,investment_fund,,4,9551-6,http://www.cmfchile.cl
2365,conceptual_asset,FONDO MUTUO ITAU CAPITAL MODERADO,FFMM-ITAU-9017,mutual_fund,,4,9017-4,http://www.cmfchile.cl
2369,conceptual_asset,FONDO MUTUO ITAU EUROPA,FFMM-ITAU-8269,mutual_fund,,4,8269-4,http://www.cmfchile.cl
2370,conceptual_asset,FONDO MUTUO ITAU GESTIONADO MODERADO,FFMM-ITAU-8928,mutual_fund,,4,8928-1,http://www.cmfchile.cl
2371,conceptual_asset,FONDO MUTUO ITAU INVESTMENT C,FFMM-ITAU-9014,mutual_fund,,4,9014-k,http://www.cmfchile.cl
2372,conceptual_asset,FONDO MUTUO ITAU INVESTMENT D,FFMM-ITAU-9015,mutual_fund,,4,9015-8,http://www.cmfchile.cl
2374,conceptual_asset,FONDO MUTUO ITAU MAS INGRESO,FFMM-ITAU-8590,mutual_fund,,4,8590-1,http://www.cmfchile.cl
2379,conceptual_asset,FONDO MUTUO ITAU PLUS,FFMM-ITAU-8235,mutual_fund,,4,8235-k,http://www.cmfchile.cl
2380,conceptual_asset,FONDO MUTUO ITAU RENTA ESTRATEGICA,FFMM-ITAU-9189,mutual_fund,,4,9189-8,http://www.cmfchile.cl
2381,conceptual_asset,FONDO MUTUO ITAU SELECCION NACIONAL,FFMM-ITAU-8030,mutual_fund,,4,8030-6,http://www.cmfchile.cl
2390,conceptual_asset,FONDO MUTUO ITAÚ GESTIONADO DEUDA LOCAL,FFMM-ITAU-8265,mutual_fund,,4,8265-1,http://www.cmfchile.cl
2391,conceptual_asset,FONDO MUTUO ITAÚ GESTIONADO MUY CONSERVADOR,FFMM-ITAU-8926,mutual_fund,,4,8926-5,http://www.cmfchile.cl
2392,conceptual_asset,FONDO MUTUO ITAÚ LATAM PACIFIC,FFMM-ITAU-8891,mutual_fund,,4,8891-9,http://www.cmfchile.cl
2393,conceptual_asset,FONDO MUTUO ITAÚ MIX,FFMM-ITAU-8290,mutual_fund,,4,8290-2,http://www.cmfchile.cl
2394,conceptual_asset,FONDO MUTUO ITAÚ SELECCIÓN BRASIL,FFMM-ITAU-8519,mutual_fund,,4,8519-7,http://www.cmfchile.cl
2395,conceptual_asset,FONDO MUTUO ITAÚ SMALL & MID CAP BRASIL,FFMM-ITAU-8520,mutual_fund,,4,8520-0,http://www.cmfchile.cl
2396,conceptual_asset,FONDO MUTUO ITAÚ WORLD EQUITY,FFMM-ITAU-8237,mutual_fund,,4,8237-6,http://www.cmfchile.cl
2907,conceptual_asset,FONDO DE INVERSION BANCHILE EQUITY TRENDS,FINV-9933,investment_fund,,4,9933-3,http://www.cmfchile.cl
2909,conceptual_asset,FONDO MUTUO AUTOCALL DOLLAR COUPON USA,FFMM-BANCHILE-9947,mutual_fund,,4,9947-3,http://www.cmfchile.cl
1525,conceptual_asset,FONDO DE INVERSIÓN FYNSA DEUDA CHILE,FINV-9559,investment_fund,,4,9559-1,http://www.cmfchile.cl
2910,conceptual_asset,FONDO MUTUO BEST COUPON EMERGENTE,FFMM-BANCHILE-9946,mutual_fund,,4,9946-5,http://www.cmfchile.cl
1850,conceptual_asset,FONDO MUTUO ITAU SELECT,FFMM-ITAU-8338,mutual_fund,CLP,4,8338-0,http://www.cmfchile.cl
